"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","rllt__details 5","uDyWh","yYlJEf href","BSaJxc","yYlJEf href 2","UbRuwe"
"IndianOil Total Pvt. Ltd. (ITPL)","· Oil & natural gas company","4.9","(44)","Mumbai, Maharashtra","· 022 6907 7400","⋅ 7 pm","Closes soon","""It’s working for the inclusive growth of India""","https://itpl.net/","Website","https://www.google.com/maps/dir//IndianOil+Total+Pvt.+Ltd.+(ITPL),+Msc+House+Gala+Impecca,+3rd,+Andheri+-+Kurla+Rd,+J+B+Nagar,+Andheri+East,+Mumbai,+Maharashtra+400059/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7c9778f1825d7:0xfb81bd785dbcac98?sa=X&ved=1t:57443&ictx=111","Directions"
"UNICORN PETROLEUM INDUSTRIES PVT. LIMITED.","· Oil & natural gas company","4.5","(10)","Mumbai, Maharashtra","· 022 4232 4122","⋅ Closes 7:30 pm","Open","","http://unicornpetro.co.in/","Website","https://www.google.com/maps/dir//Unit+no.+1,+UNICORN+PETROLEUM+INDUSTRIES+PVT.+LIMITED.,+Riddhi+Siddhi,+CORPORATE+PARK,+Sion+-+Trombay+Rd,+Chembur,+Mumbai,+Maharashtra+400071/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7c8a4dc1f2349:0xb8521a0cedb54cd4?sa=X&ved=1t:57443&ictx=111","Directions"
"Petrofac Engineering India Pvt Ltd","· Oil & natural gas company","4.4","(182)","Mumbai, Maharashtra","· 022 3051 3100","⋅ Opens 8:30 am Mon","Closed","""Involved in oil refinery businesses""","http://www.petrofac.com/","Website","https://www.google.com/maps/dir//7th+Floor,+Petrofac+Engineering+India+Pvt+Ltd,+Hiranandani+Business+Park,+Ventura+Central+Avenue,+Hiranandani+Gardens,+Powai,+Mumbai,+Maharashtra+400076/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7c7e56cadd98b:0x3d3ff1372d634ab?sa=X&ved=1t:57443&ictx=111","Directions"
"OCS Services (India) Pvt. Ltd.","· Oil & natural gas company","4.3","(139)","Mumbai, Maharashtra","· 022 6640 9000","⋅ Opens 9 am Mon","Closed","""One of the best office for offshore and onshore rig""","https://www.ocs.services/","Website","https://www.google.com/maps/dir//II,+645,+OCS+Services+(India)+Pvt.+Ltd.,+Oberoi+Chambers,+407-411,+Off+New+Link+Rd,+Andheri+West,+Mumbai,+Maharashtra+400053/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7b62344fac221:0x4af4cffc3cba5b82?sa=X&ved=1t:57443&ictx=111","Directions"
"Tashkent Oil Company Pvt. Ltd","· Oil & natural gas company","4.1","(7)","Vadodara, Gujarat","· 0265 234 1514","⋅ 6:30 pm","Closes soon","","http://www.tashoil.com/","Website","https://www.google.com/maps/dir//Tashkent+Oil+Company+Pvt.+Ltd,+Alkapuri+Arcade,+A-301,+RC+Dutt+Rd,+Alkapuri,+Vadodara,+Gujarat+390007/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x395fc8bb1df329a1:0xebcfd9a1dc3ca198?sa=X&ved=1t:57443&ictx=111","Directions"
"Lubrizol India Private Limited","· Oil & natural gas company","4.3","(107)","Navi Mumbai, Maharashtra","· 022 2430 0672","⋅ Opens 9 am Sat","Closed","""One of the Big oil sector plant in navi mumbai Area.""","https://www.lubrizol.com/","Website","https://www.google.com/maps/dir//32FG%2B75F+Lubrizol+India+Private+Limited,+S+Central+Rd,+Turbhe+MIDC,+Turbhe,+Navi+Mumbai,+Maharashtra+400703/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7c16c55f9bd55:0x8591c0dc054c3648?sa=X&ved=1t:57443&ictx=111","Directions"
"Abhitech Energycon Limited","· Oil & natural gas company","4.8","(24)","Mumbai, Maharashtra","· 022 2857 0616","⋅ 6:30 pm","Closes soon","","http://www.abhitechenergycon.com/","Website","https://www.google.com/maps/dir//Abhitech+Energycon+Limited,+Oberoi+Garden+Estate,+A+%2F1020,+Chandivali+Farm+Rd,+next+to+Boomerang,+Chandivali,+Andheri+East,+Mumbai,+Maharashtra+400072/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7cf21727d5445:0x2a3daca39ba3127c?sa=X&ved=1t:57443&ictx=111","Directions"
"Taurus Petroleums Private Limited","· Oil & natural gas company","3.7","(3)","Mumbai, Maharashtra","· 080 4325 7057","⋅ 6:30 pm","Closes soon","","https://tauruspetroleums.com/","Website","https://www.google.com/maps/dir//13th+Floor.+Office,+Taurus+Petroleums+Private+Limited,+Panchratna+Building,+No:+1303,+Mama+Paramanand+Marg,+Opera+House,+Mumbai,+Maharashtra+400004/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7cebe52a30031:0xd5310a9646428458?sa=X&ved=1t:57443&ictx=111","Directions"
"Gandhar Oil Refinery India Ltd","· Oil refinery","4.5","(43)","Mumbai, Maharashtra","· 022 4063 5600","⋅ Opens 9:30 am Sat","Closed","""Divyol Disol SXV has been the best engine oil for my vehicle so far.""","http://www.gandharoil.com/","Website","https://www.google.com/maps/dir//18th+Floor,+Gandhar+Oil+Refinery+India+Ltd,+Dlh+Park,+Swami+Vivekananda+Rd,+opp.+MTNL,+Goregaon+West,+Mumbai,+Maharashtra+400062/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7b7b955555555:0xc59093d6071e36da?sa=X&ved=1t:57443&ictx=111","Directions"
"Kolt Oilfield Services","· Oil & natural gas company","4.4","(33)","Mumbai, Maharashtra","","⋅ Opens 8:30 am Mon","Closed","","http://koltoilfield.com/","Website","https://www.google.com/maps/dir//Kolt+Oilfield+Services,+Unit+No+215,+Wing+A+(H),+Kailash+Business+Park,+Veer+Savarkar+Road,+Park+Site+Rd,+Vikhroli+(W,+Mumbai,+Maharashtra+400079/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7d1ebea5a479f:0x9d12a993ee9717a5?sa=X&ved=1t:57443&ictx=111","Directions"
