"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","rllt__details 5","uDyWh","yYlJEf href","BSaJxc","yYlJEf href 2","UbRuwe","BI0Dve"
"Britannia Industries Limited","· Food manufacturer","4.2","(200)","Delhi","· 011 7156 8000","⋅ Opens 9:30 am Sat","Closed","""Iconic industry now modified according to new technology, awesome""","http://britannia.co.in/","Website","https://www.google.com/maps/dir//M5P2%2B67C+Britannia+Industries+Limited,+Shakur+Basti,+Dr+Lohia+Industrial+Area,+Keshav+Puram,+Shakurpur,+Delhi,+110035/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x390d024abb8b2ca1:0xb0a23b31e228ae21?sa=X&ved=1t:57443&ictx=111","Directions",""
"Ziplite Footcare Industries","· Shoe factory","4.9","(33)","Delhi","· 099119 94486","⋅ Closes 9 pm","Open","""Provide good service.""","http://www.ziplitefootwear.com/","Website","https://www.google.com/maps/dir//Ziplite+Footcare+Industries,+T-1%2F81,+Mangol+Puri+Industrial+Area+Phase+I,+Mangolpuri,+Delhi,+110083/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x390d041194d4af27:0xac2f725c7f05231f?sa=X&ved=1t:57443&ictx=111","Directions",""
"Candes Technology Private Limited","· Electronics Company","2.6","(715)","New Delhi, Delhi","· 093102 17042","","Open 24 hours","","https://candesworld.com/","Website","https://www.google.com/maps/dir//Candes+Technology+Private+Limited,+402,+Crown+Heights+,+Plot+No.3B1+,+Twin+District+Centre,+Sector+10,+Rohini,+New+Delhi,+Delhi+110085/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x390d078d94eb2bef:0x696d2f4a1f0745f0?sa=X&ved=1t:57443&ictx=111","Directions","On-site services"
"Rajdhani Flour Mills Limited","· Flour mill","4.3","(146)","Delhi","· 011 4901 9999","⋅ Opens 9 am Sat","Closed","""It's a good food products manufacturing company.""","http://www.rajdhanibesan.com/","Website","https://www.google.com/maps/dir//Rajdhani+Flour+Mills+Limited,+B-30,+Lawrence+Road+Industrial+Area,+Delhi,+110035/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x390d03b38cf5de9b:0x269bc9f85dbc4490?sa=X&ved=1t:57443&ictx=111","Directions",""
"SWEET KING INDIA L.L.P.","· Manufacturer","4.9","(171)","New Delhi, Delhi","· 097160 09900","","Open 24 hours","","https://www.sweetkingindia.in/","Website","https://www.google.com/maps/dir//SWEET+KING+INDIA+L.L.P.,+C-4,+S.M.A+Industrial+Estate,+GT+Karnal+Rd,+New+Delhi,+Delhi+110033/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x390d0197578da977:0x644d56cfce1598ae?sa=X&ved=1t:57443&ictx=111","Directions","In-store shopping"
"JINDAL INDUSTRIES","· Manufacturer","4.8","(34)","Delhi","· 098188 54511","⋅ Opens 9:30 am Sat","Closed","","https://www.jindalmotors.com/","Website","https://www.google.com/maps/dir//B,+JINDAL+INDUSTRIES,+38,+Lawrence+Rd,+near+Britannia+Road,+CHOCK,+Delhi,+110035/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x390d0311cbae76ef:0xee7c75a13ac120ed?sa=X&ved=1t:57443&ictx=111","Directions",""
"S B Packagings Pvt Ltd","· Manufacturer","4.2","(32)","New Delhi, Delhi","· 099711 52695","⋅ Opens 10 am Sat","Closed","""Very Best flexible packaging Company""","http://www.sbpackagings.com/","Website","https://www.google.com/maps/dir//3rd+Floor,+S+B+Packagings+Pvt+Ltd,+Vardhman+Western+Plaza,+Inder+Enclave,+Paschim+Vihar,+New+Delhi,+Delhi+110087/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x390d0493992b85ed:0xf1b7e9753a0ff2d7?sa=X&ved=1t:57443&ictx=111","Directions",""
"Parteek Industries","· Stationery manufacturer","4.3","(69)","Delhi","· 080 4895 6602","⋅ Opens 9:30 am Sat","Closed","""Had a great experience dealing with parteek industries""","http://www.maksontape.com/","Website","https://www.google.com/maps/dir//Parteek+Industries,+Bd+41+a,+Police+Quarters+Rd,+Shalimar+Bagh,+Delhi,+110088/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x390d018456cf0859:0x27b09aba5d564cd1?sa=X&ved=1t:57443&ictx=111","Directions",""
"Victoria Foods Pvt. Ltd.","· Food products supplier","4.0","(94)","New Delhi, Delhi","· 011 4532 5500","⋅ Opens 9:30 am Sat","Closed","""Well managed.""","http://www.rajdhanigroup.com/","Website","https://www.google.com/maps/dir//Victoria+Foods+Pvt.+Ltd.,+B-32,+Lawrence+Rd,+New+Delhi,+Delhi+110035/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x390cfd12a6db47e7:0x51279bfc659938eb?sa=X&ved=1t:57443&ictx=111","Directions",""
"G M Industries","· Manufacturer","5.0","(31)","New Delhi, Delhi","· 098992 20268","⋅ Opens 9 am Sat","Closed","""Very Good Company for Die Mold Making""","https://godmotherindustries.com/","Website","https://www.google.com/maps/dir//C52,+G+M+Industries,+Back+Side,+Mayapuri+Industrial+Area+Phase+II,+New+Delhi,+Delhi+110064/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x390d03383b266bfd:0x2a9d6706ee27ee50?sa=X&ved=1t:57443&ictx=111","Directions",""
