"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","yYlJEf href","UbRuwe","rllt__details 5","BSaJxc","yYlJEf href 2"
"Geeta Chemical Industries","· Chemical plant","4.5","(13)","Chhatrapati Sambhajinagar, Maharashtra","· 079723 73459","Open 24 hours","https://www.google.com/maps/dir//Geeta+Chemical+Industries,+G-42,+MIDC,+Waluj,+Chhatrapati+Sambhajinagar,+Maharashtra+431136/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bdb9b32f147fd1f:0x20a9dadc1be1614e?sa=X&ved=1t:57443&ictx=111","Directions","","",""
"Subhash Chemical industries Pvt. Ltd.Unit2","· Manufacturer","4.7","(13)","Bhosri, Maharashtra","· 020 2733 6800","⋅ Opens 9 am Sat","http://www.subhashchemicals.com/","Directions","Closed","Website","https://www.google.com/maps/dir//Subhash+Chemical+industries+Pvt.+Ltd.Unit2,+Shed+171,+MIDC+Rd,+S+Block,+MIDC,+Bhosari,+Bhosri,+Maharashtra+411026/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc2b8789a21d4af:0x1c1365fe7d628560?sa=X&ved=1t:57443&ictx=111"
"LANXESS India Private Limited","· Chemical Manufacturer","4.3","(96)","Thane, Maharashtra","· 022 6875 1000","⋅ Opens 8:30 am Mon","http://www.lanxess.in/","Directions","Closed","Website","https://www.google.com/maps/dir//LANXESS+India+Private+Limited,+Plot+no:+A,+162-164,+Rd+Number+27,+Wagle+Estate,+MIDC,+Thane,+Maharashtra+400604/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7b9a7fdb2e3b1:0x5f50872e176d2aa7?sa=X&ved=1t:57443&ictx=111"
"Jeevan Chemicals Private Limited- Chemical Manufacturer","· Chemical Manufacturer","4.8","(6)","Mumbai, Maharashtra","· 022 3171 3792","⋅ Closes 6 am Sat","http://www.jeevanchemicals.com/","Directions","Open","Website","https://www.google.com/maps/dir//Office+Nos.+808-812,+Jeevan+Chemicals+Private+Limited-+Chemical+Manufacturer,+W92+Building,+L.T.+Rd,+opp.+Veg+Treat+II,+Prerna+Nagar,+Vazira,+Borivali,+Mumbai,+Maharashtra+400091/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7b104d0348d59:0x50836adb08fe10b4?sa=X&ved=1t:57443&ictx=111"
"Fine Chemical Industries","· Chemical Manufacturer","3.9","(9)","Navi Mumbai, Maharashtra","· 022 2768 1048","","https://finechemindia.com/","Directions","Open 24 hours","Website","https://www.google.com/maps/dir//Fine+Chemical+Industries,+C-+8%2F2,+TTC+Industrial+Area,+Pawane,+MIDC,+Thane,+Pawneshwar+Marg,+near+Pawaneshwar+Temple,+Navi+Mumbai,+Maharashtra+400703/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7c3c8639c13bf:0x1e12549a215eba46?sa=X&ved=1t:57443&ictx=111"
"Mirachem Industries | Manufacturers of Speciality Chemicals for the Textile Industry","· Manufacturer","4.8","(6)","Mumbai, Maharashtra","· 022 4241 7575","⋅ 7 pm","https://www.mirachemindustries.com/","Directions","Closes soon","Website","https://www.google.com/maps/dir//Mirachem+Industries+%7C+Manufacturers+of+Speciality+Chemicals+for+the+Textile+Industry,+Virwani+Industrial+Estate,+B+-+310,+off+Western+Express+Highway,+Goregaon+(E,+Mumbai,+Maharashtra+400063/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7c83c25dd979b:0x9f11e9f52e22c2b8?sa=X&ved=1t:57443&ictx=111"
"Jaysons Chemical Industries | Ammonia Manufacturers and Suppliers","· Chemical Manufacturer","4.8","(6)","Mumbai, Maharashtra","· 091859 14391","⋅ 6:30 pm","https://ammoniagas.com/","Directions","Closes soon","Website","https://www.google.com/maps/dir//801,+8th+Floor,+Jaysons+Chemical+Industries+%7C+Ammonia+Manufacturers+and+Suppliers,+Peninsula+Park,+Off+New+Link+Rd,+Veera+Desai+Industrial+Estate,+Andheri+West,+Mumbai,+Maharashtra+400053/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7c83c256f6a91:0xa4432e81abaf87ba?sa=X&ved=1t:57443&ictx=111"
"Organic Industries Pvt Ltd.","· Chemical Manufacturer","4.4","(16)","Mumbai, Maharashtra","· 022 4162 2828","⋅ 6:30 pm","http://www.organicgroup.co.in/","Directions","Closes soon","Website","https://www.google.com/maps/dir//Delta+6th+floor,+Organic+Industries+Pvt+Ltd.,+Technology+St,+Hiranandani+Gardens,+Powai,+Mumbai,+Maharashtra+400076/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7c7eefda2f85b:0xdfa2b3d840d6fd00?sa=X&ved=1t:57443&ictx=111"
"Tirupati Chemical Industries","· Chemical Manufacturer","5.0","(2)","Mumbai, Maharashtra","· 022 2882 5335","⋅ Closes 8 pm","","Directions","Open","","https://www.google.com/maps/dir//C+Wing,+Tirupati+Chemical+Industries,+Jaswanti+Allied+Business+Centre,+507,+Ramchandra+Lane+Extn.+Road,+near+Khwaish+Residency,+Kanchpada,+Malad+West,+Mumbai,+Maharashtra+400064/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7b702b1f1b81f:0x69293633af8b8000?sa=X&ved=1t:57443&ictx=111"
"Scottish Chemical Industries","· Chemical Manufacturer","4.4","(18)","Mumbai, Maharashtra","· 022 6239 6666","⋅ 7 pm","http://www.scottishchemical.com/","Directions","Closes soon","Website","https://www.google.com/maps/dir//5th+Floor,+Scottish+Chemical+Industries,+Span+Center,+South+Avenue,+Santacruz+(West),+Mumbai,+Maharashtra+400054/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3be7c90bf75c78a3:0xaa8f84369cbb5e36?sa=X&ved=1t:57443&ictx=111"
