"result_container--right-title","result_container--right-title href","result_container--right-location","result_container--right-location href","result_container--right-location 2","result_container--right-location 3","result_container--right-location href 2","result_container--right-location 4","result_container--right-contactname","result_container--right-contactno","result_container--right-desc","result_container--right-desc 2","product-margin"
"","","","","","","","","","","","",""
"SUPERCHEM","https://www.indianindustriesdirectory.com/companyinfo/superchem-kolhapur-154123.html","KOLHAPUR","https://www.indianindustriesdirectory.com/district/kolhapur/chemicals.html","-","416003","https://www.indianindustriesdirectory.com/pincode/kolhapur/416003/chemicals.html",",INDIA","Contact Person: MR.VINEET CHAVAN - M.D.","Tel No. 0231 - 3590369 / 2656162 / 9822676485 / 8805280100","Chemicals, Super Seed Slurry, Super Visco, Super M Quat, Super C Mate, Super Anti,
Super PH, Super","...More","Send Enquiry"
"JAYDEV CHEMICAL INDUSTRIES PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/jaydev-chemical-industries-pvtltd-navi-mumbai-13687.html","NAVI MUMBAI","https://www.indianindustriesdirectory.com/district/navi%20mumbai/chemicals.html","-","400705","https://www.indianindustriesdirectory.com/pincode/navi%20mumbai/400705/chemicals.html",",INDIA","Contact Person: MR. SANJAY M. KULKARNI-DIR","Tel No. 022 - 27635335 / 27633732 / 8097273957","Mfg. Of Speciality Chemicals, Fine Chemicals,  3-Pentyn-1-Ol, 2-Hexyn-1-Ol, 5-Hexyn-1-Ol, 3-Octyn-1-","...More","Send Enquiry"
"AIR MID CHEMICALS PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/air-mid-chemicals-pvtltd-thane-162394.html","THANE","https://www.indianindustriesdirectory.com/district/thane/chemicals.html","-","400607","https://www.indianindustriesdirectory.com/pincode/thane/400607/chemicals.html",",INDIA","Contact Person: MR.ULHAS CHOUBAL","Tel No.  - 9820071997","Chemical Company","...More","Send Enquiry"
"ENVIROTONE SERVICES","https://www.indianindustriesdirectory.com/companyinfo/envirotone-services-kolhapur-2492.html","KOLHAPUR","https://www.indianindustriesdirectory.com/district/kolhapur/chemicals.html","-","416115","https://www.indianindustriesdirectory.com/pincode/kolhapur/416115/chemicals.html",",INDIA","Contact Person: MR.SANJAY BALWAN / MR.VISHWAJIT BALWAN - PROP.","Tel No.  - 9422046974 / 9423914421","Design, Execution, Maintenance, Commissioning And Are Also Manufacturer, Supplier, Services Provider","...More","Send Enquiry"
"ECOTONE INDUSTRIES","https://www.indianindustriesdirectory.com/companyinfo/ecotone-industries-kolhapur-85664.html","KOLHAPUR","https://www.indianindustriesdirectory.com/district/kolhapur/chemicals.html","-","416115","https://www.indianindustriesdirectory.com/pincode/kolhapur/416115/chemicals.html",",INDIA","Contact Person: MR.SANJAY BALWAN / MR.VISHWAJIT BALWAN","Tel No.  - 9422046974 / 9423914421","Manufacturer, Supplier, Exporter, Services Provider of ETP Chemicals, Waste Water Treatment Chemical","...More","Send Enquiry"
"IDEAL CHEMICALS (INDIA) PVT. LTD.","https://www.indianindustriesdirectory.com/companyinfo/ideal-chemicals-india-pvt-ltd-thane-146388.html","THANE","https://www.indianindustriesdirectory.com/district/thane/chemicals.html","-","400601","https://www.indianindustriesdirectory.com/pincode/thane/400601/chemicals.html",",INDIA","Contact Person: MR. VIPUL MAHESHWARI (DIRECTOR)","Tel No. 022 - 25440051 / 40132708 / 9821149910","Premier Chemical Marketing Company Dealing In Chloro Alkalies And Other Industrial Chemicals, Petroc","...More","Send Enquiry"
"SAVI CHEMTEX PVT.LTD.","https://www.indianindustriesdirectory.com/companyinfo/savi-chemtex-pvtltd-mumbai-156911.html","MUMBAI","https://www.indianindustriesdirectory.com/district/mumbai/chemicals.html","-","400004","https://www.indianindustriesdirectory.com/pincode/mumbai/400004/chemicals.html",",INDIA","Contact Person: MR.VIPUL MAHESHWARI (DIRECTOR)","Tel No. 022 - 25440051 / 40132708","Premier Chemical Marketing Company Dealing In Chloro Alkalies And Other Industrial Chemicals, Petroc","...More","Send Enquiry"
"POLLUCLEAN TECHNOLOGIES LLP","https://www.indianindustriesdirectory.com/companyinfo/polluclean-technologies-llp-kolhapur-101143.html","KOLHAPUR","https://www.indianindustriesdirectory.com/district/kolhapur/chemicals.html","-","416115","https://www.indianindustriesdirectory.com/pincode/kolhapur/416115/chemicals.html",",INDIA","Contact Person: MR.SANJAY BALWAN / MR.VISHWAJIT BALWAN - DIRECTOR","Tel No.  - 9422046974 / 9423914421","ETP, Effluent Treatment Plants, Pollution Control Services, Consultancy For Energy, Water Purificati","...More","Send Enquiry"
"OM ENTERPRISES","https://www.indianindustriesdirectory.com/companyinfo/om-enterprises-pune-5100.html","PUNE","https://www.indianindustriesdirectory.com/district/pune/chemicals.html","-","411028","https://www.indianindustriesdirectory.com/pincode/pune/411028/chemicals.html",",INDIA","Contact Person: MR.T.A.PATIL","Tel No. 20 - 29510729 / 7745076868 / 9890903621 / 7720005423","Manufacturer Of Construction Laboratory Equipments, Scientific Instrument, Mathematical Instruments,","...More","Send Enquiry"
