LGD_Code,DistrictName,StateName,Population,MORTH_City_Name
554,Alappuzha,Kerala,2127789.0,
121,Ambedkar Nagar,Uttar Pradesh,2397888.0,
27,Amritsar,Punjab,2490656.0,
672,Arvalli,Gujarat,,
611,Arwal,Bihar,700843.0,
189,Aurangabad,Bihar,2540073.0,Aurangabad
125,Bahraich,Uttar Pradesh,3487731.0,
646,Balod,Chhattisgarh,,
127,Balrampur,Uttar Pradesh,2148665.0,
649,Balrampur-Ramanujganj,Chhattisgarh,,
623,Bandipora,Jammu And Kashmir,,
470,Beed,Maharashtra,,
650,Bemetara,Chhattisgarh,,
525,Bengaluru Urban,Karnataka,,Bengaluru
179,Bhadohi,Uttar Pradesh,,
471,Bhandara,Maharashtra,1200334.0,
395,Bhind,Madhya Pradesh,1703005.0,
636,Bijapur,Chhattisgarh,255230.0,
676,Botad,Gujarat,,
47,Chamoli,Uttarakhand,391605.0,
135,Chandauli,Uttar Pradesh,1952756.0,
253,Chandel,Manipur,144182.0,
473,Chandrapur,Maharashtra,2204307.0,
398,Chhatarpur,Madhya Pradesh,1762375.0,
668,Chhotaudepur,Gujarat,,
445,Dahod,Gujarat,,
310,Dakshin Dinajpur,West Bengal,1676276.0,
400,Damoh,Madhya Pradesh,1264219.0,
444,Dangs,Gujarat,,
309,Darjeeling,West Bengal,,
535,Davangere,Karnataka,,
269,Dhalai,Tripura,378230.0,
352,Dhenkanal,Odisha,1192811.0,
404,Dindori,Madhya Pradesh,704524.0,
769,Dudu,Rajasthan,,
657,East Jaintia Hills,Meghalaya,,
748,Eluru,Andhra Pradesh,,
573,Erode,Tamil Nadu,2251744.0,
651,Fazilka,Punjab,,
31,Ferozepur,Punjab,,
446,Gandhinagar,Gujarat,1391753.0,
328,Garhwa,Jharkhand,1322784.0,
645,Gariyaband,Chhattisgarh,,
196,Gaya,Bihar,4391418.0,
654,Gomati,Tripura,,
331,Gumla,Jharkhand,1025213.0,
17,Hamirpur,Himachal Pradesh,454768.0,
686,Hanumakonda,Telangana,,
408,Harda,Madhya Pradesh,570465.0,
50,Haridwar,Uttarakhand,,
539,Hassan,Karnataka,1776421.0,
355,Jagatsinghapur,Odisha,1136971.0,
102,Jaipur,Rajasthan,6626178.0,Jaipur
104,Jalore,Rajasthan,,
314,Jalpaiguri,West Bengal,3872846.0,
687,Jayashankar Bhupalapally,Telangana,,
105,Jhalawar,Rajasthan,1411129.0,
153,Jhansi,Uttar Pradesh,1998603.0,
357,Jharsuguda,Odisha,579505.0,
382,Kabeerdham,Chhattisgarh,822526.0,
702,Kalimpong,West Bengal,,
156,Kanpur Dehat,Uttar Pradesh,1796184.0,
108,Karauli,Rajasthan,1458248.0,
508,Karimnagar,Telangana,,
201,Katihar,Bihar,3071029.0,
360,Kendrapara,Odisha,1440361.0,
414,Khargone (West Nimar),Madhya Pradesh,1873046.0,
450,Kheda,Gujarat,2299885.0,
159,Kheri,Uttar Pradesh,4021243.0,
652,Khowai,Tripura,,
606,Khunti,Jharkhand,531885.0,
620,Kishtwar,Jammu And Kashmir,,
263,Kolasib,Mizoram,83955.0,
315,Kolkata,West Bengal,4496694.0,Kolkata
559,Kollam,Kerala,2635375.0,Kollam
109,Kota,Rajasthan,1951014.0,Kota
160,Kushinagar,Uttar Pradesh,3564544.0,
553,Lakshadweep District,Lakshadweep,,
161,Lalitpur,Uttar Pradesh,1221592.0,
335,Latehar,Jharkhand,726978.0,
234,Lohit,Arunachal Pradesh,145726.0,
615,Longleng,Nagaland,50484.0,
206,Madhubani,Bihar,4487379.0,
578,Madurai,Tamil Nadu,3038252.0,Madurai
69,Mahendragarh,Haryana,922088.0,
669,Mahisagar,Gujarat,,
784,Maihar,Madhya Pradesh,,
166,Mainpuri,Uttar Pradesh,1868529.0,
706,Majuli,Assam,,
562,Malappuram,Kerala,4112920.0,Malappuram
316,Malda,West Bengal,,
364,Malkangiri,Odisha,613192.0,
684,Mancherial,Telangana,,
168,Mau,Uttar Pradesh,2205968.0,
247,Mon,Nagaland,250260.0,
720,Mulugu,Telangana,,
207,Munger,Bihar,1367765.0,
545,Mysuru,Karnataka,,
579,Nagapattinam,Tamil Nadu,1616450.0,
484,Nagpur,Maharashtra,4653570.0,Nagpur
51,Nainital,Uttarakhand,954605.0,
409,Narmadapuram,Madhya Pradesh,,
487,Nashik,Maharashtra,6107187.0,Nashik
453,Navsari,Gujarat,1329672.0,
714,Noney,Manipur,,
81,North East,Delhi,,
270,North Tripura,Tripura,693947.0,
749,Ntr,Andhra Pradesh,,
563,Palakkad,Kerala,2809934.0,
338,Palamu,Jharkhand,1939869.0,
665,Palghar,Maharashtra,,Vasai
70,Panchkula,Haryana,561293.0,
71,Panipat,Haryana,1205437.0,
743,Parvathipuram Manyam,Andhra Pradesh,,
662,Pathankot,Punjab,,
53,Pithoragarh,Uttarakhand,483439.0,
213,Purbi Champaran,Bihar,,
369,Puri,Odisha,1698730.0,
421,Raisen,Madhya Pradesh,1331597.0,
518,Ranga Reddy,Telangana,,
627,Reasi,Jammu And Kashmir,,
425,Sagar,Madhya Pradesh,2378458.0,
217,Samastipur,Bihar,4261566.0,
43,Sangrur,Punjab,1655169.0,
608,S.A.S Nagar,Punjab,,
40,Shahid Bhagat Singh Nagar,Punjab,612310.0,
182,Siddharthnagar,Uttar Pradesh,2559297.0,
114,Sikar,Rajasthan,2677333.0,
495,Sindhudurg,Maharashtra,849651.0,
115,Sirohi,Rajasthan,1036346.0,
74,Sirsa,Haryana,1295189.0,
585,Sivaganga,Tamil Nadu,1339101.0,
184,Sonbhadra,Uttar Pradesh,1862559.0,
372,Sonepur,Odisha,,
304,South 24 Parganas,West Bengal,,
552,South Goa,Goa,640537.0,
696,Suryapet,Telangana,,
716,Tengnoupal,Manipur,,
588,Theni,Tamil Nadu,1245899.0,
590,Thiruvarur,Tamil Nadu,1264277.0,
434,Tikamgarh,Madhya Pradesh,1445166.0,
655,Unakoti,Tripura,,
241,Upper Subansiri,Arunachal Pradesh,83448.0,
187,Varanasi,Uttar Pradesh,3676841.0,Varanasi
597,Virudhunagar,Tamil Nadu,1942288.0,
498,Wardha,Maharashtra,1300774.0,
279,West Khasi Hills,Meghalaya,383461.0,
272,West Tripura,Tripura,1725739.0,
504,Y.S.R.,Andhra Pradesh,2882469.0,
667,Agar-Malwa,Madhya Pradesh,,
118,Agra,Uttar Pradesh,4418797.0,Agra
86,Ajmer,Rajasthan,2583052.0,
664,Alipurduar,West Bengal,,
45,Almora,Uttarakhand,622506.0,
58,Ambala,Haryana,1128350.0,
468,Amravati,Maharashtra,2888445.0,
439,Amreli,Gujarat,1514190.0,
1,Anantnag,Jammu And Kashmir,,
753,Annamayya,Andhra Pradesh,,
616,Baksa,Assam,950075.0,
346,Baleshwar,Odisha,2320529.0,
126,Ballia,Uttar Pradesh,3239774.0,
644,Balodabazar-Bhatapara,Chhattisgarh,,
128,Banda,Uttar Pradesh,1799410.0,
190,Banka,Bihar,2034763.0,
305,Bankura,West Bengal,3596674.0,
3,Baramulla,Jammu And Kashmir,,
130,Bareilly,Uttar Pradesh,4448359.0,
393,Barwani,Madhya Pradesh,1385881.0,
28,Bathinda,Punjab,1388525.0,
191,Begusarai,Bihar,2970541.0,
527,Belagavi,Karnataka,,
192,Bhagalpur,Bihar,3037766.0,
375,Bilaspur,Chhattisgarh,2663629.0,
252,Bishnupur,Manipur,237399.0,
705,Biswanath,Assam,,
133,Budaun,Uttar Pradesh,3681896.0,
134,Bulandshahr,Uttar Pradesh,3499171.0,
94,Bundi,Rajasthan,1110906.0,
282,Cachar,Assam,1736617.0,
531,Chamarajanagara,Karnataka,,
48,Champawat,Uttarakhand,259648.0,
708,Charaideo,Assam,,
568,Chennai,Tamil Nadu,4646732.0,Chennai
612,Chirang,Assam,482162.0,
569,Coimbatore,Tamil Nadu,3458045.0,Coimbatore
401,Datia,Madhya Pradesh,786754.0,
325,Dhanbad,Jharkhand,2684487.0,Dhanbad
571,Dharmapuri,Tamil Nadu,1506843.0,
536,Dharwad,Karnataka,1847023.0,
98,Dholpur,Rajasthan,,
286,Dibrugarh,Assam,1326335.0,
378,Durg,Chhattisgarh,3343872.0,Durg Bhilai
273,East Garo Hills,Meghalaya,317917.0,
29,Faridkot,Punjab,617508.0,
