LGD_Code_x,DistrictName,StateName,Population,MORTH_City_Name,AvgAQI_2020,very_dense_forest,mod_dense_forest,open_forest,total_forest_cover,scrub,LGD_Code_y,DistrictVehicles_2020,VehiclesPerCapita,ForestPerCapita_sqkm
554,Alappuzha,Kerala,2127789.0,,,0.0,20.01,120.91,140.92,0.0,554,0,0.0,6.62283713281721e-05
121,Ambedkar Nagar,Uttar Pradesh,2397888.0,,,,,,,,121,0,0.0,
27,Amritsar,Punjab,2490656.0,,105.3126843657817,,,,,,27,0,0.0,
672,Arvalli,Gujarat,,,,0.86,63.13,215.55,279.54,32.57,672,0,,
611,Arwal,Bihar,700843.0,,,0.0,1.44,2.58,4.02,0.0,611,796,0.0011357750594641026,5.735949420911673e-06
189,Aurangabad,Bihar,2540073.0,Aurangabad,,0.0,65.56,92.22,157.78,14.01,189,2885,0.0011357941287514178,6.211632500325779e-05
125,Bahraich,Uttar Pradesh,3487731.0,,,,,,,,125,0,0.0,
646,Balod,Chhattisgarh,,,,45.21,505.84,192.66,743.71,18.17,646,0,,
127,Balrampur,Uttar Pradesh,2148665.0,,,450.29,1514.96,1169.21,3134.46,16.24,127,0,0.0,0.0014587941815033987
649,Balrampur-Ramanujganj,Chhattisgarh,,,,,,,,,649,0,,
623,Bandipora,Jammu And Kashmir,,,,,,,,,623,0,,
470,Beed,Maharashtra,,,,,,,,,470,0,,
650,Bemetara,Chhattisgarh,,,,0.0,0.0,7.51,7.51,0.4,650,0,,
525,Bengaluru Urban,Karnataka,,Bengaluru,,,,,,,525,9638362,,
179,Bhadohi,Uttar Pradesh,,,,,,,,,179,0,,
471,Bhandara,Maharashtra,1200334.0,,,,,,,,471,0,0.0,
395,Bhind,Madhya Pradesh,1703005.0,,,,,,,,395,0,0.0,
636,Bijapur,Chhattisgarh,255230.0,,,2261.46,3232.24,1599.07,7092.77,4.4,636,0,0.0,0.027789719076911024
636,Bijapur,Chhattisgarh,255230.0,,,0.0,0.93,26.56,27.49,10.61,636,0,0.0,0.00010770677428202013
676,Botad,Gujarat,,,,0.0,0.26,12.32,12.58,5.51,676,0,,
47,Chamoli,Uttarakhand,391605.0,,,,,,,,47,10922,0.027890348693198504,
135,Chandauli,Uttar Pradesh,1952756.0,,,,,,,,135,0,0.0,
253,Chandel,Manipur,144182.0,,,,,,,,253,823,0.0057080634198443635,
473,Chandrapur,Maharashtra,2204307.0,,76.62983425414365,,,,,,473,0,0.0,
398,Chhatarpur,Madhya Pradesh,1762375.0,,,,,,,,398,0,0.0,
668,Chhotaudepur,Gujarat,,,,0.0,121.01,332.8,453.81,8.07,668,0,,
445,Dahod,Gujarat,,,,0.43,105.34,336.77,442.54,25.38,445,0,,
310,Dakshin Dinajpur,West Bengal,1676276.0,,,,,,,,310,0,0.0,
400,Damoh,Madhya Pradesh,1264219.0,,80.89877300613497,,,,,,400,0,0.0,
444,Dangs,Gujarat,,,,,,,,,444,0,,
309,Darjeeling,West Bengal,,,,,,,,,309,0,,
535,Davangere,Karnataka,,,,,,,,,535,0,,
269,Dhalai,Tripura,378230.0,,,,,,,,269,6529,0.017261983449224017,
