district,very_dense_forest,mod_dense_forest,open_forest,total_forest_cover,scrub
Alluri Sitharama Raju,1183.18,3781.97,1952.17,6917.32,726.83
Anakapalli,0.0,155.02,551.29,706.31,257.93
Ananthapuramu,0.0,22.55,222.9,245.45,551.84
Annamayya,28.51,1277.28,1050.56,2356.35,568.49
Bapatla,0.0,41.28,72.58,113.86,29.03
Chittoor,0.0,457.98,788.33,1246.31,625.25
East Godavari,0.0,116.8,286.37,403.17,6.37
Eluru,366.19,488.08,835.27,1689.54,24.36
Guntur,0.0,0.06,13.28,13.34,9.62
Kakinada,0.02,184.33,359.78,544.13,113.0
Konaseema,0.0,67.32,353.68,421.0,2.37
Krishna,0.0,50.25,124.35,174.6,3.45
Kurnool,0.0,0.75,70.73,71.48,145.21
Nandyal,86.01,1506.01,506.74,2098.76,536.45
NTR,35.21,77.49,250.67,363.37,22.65
Palnadu,0.99,247.18,521.37,769.54,447.82
Prakasam,256.87,1780.29,1213.77,3250.93,1139.54
Sri Sathya Sai,0.0,187.17,568.6,755.77,550.33
Srikakulam,0.0,77.54,500.36,577.9,315.61
Tirupati,6.38,888.26,1209.39,2104.03,509.69
Visakhapatnam,0.0,99.03,173.42,272.45,4.21
Vizianagaram,0.0,43.38,370.44,413.82,90.64
West Godavari,0.0,0.33,60.63,60.96,0.02
YSR Kadapa,10.16,1471.0,866.44,2347.6,708.12
Anakapalli,0.0,229.31,611.89,841.2,268.22
Anantapur,0.0,23.17,217.97,241.14,543.04
Annamayya,28.48,1294.69,1057.85,2381.02,571.78
Bapatla,0.0,12.42,45.51,57.93,29.0
Bhimavaram,0.0,0.33,61.14,61.47,0.01
Chintapalli,71.52,1025.62,451.79,1548.93,80.04
Chintur,558.51,504.55,74.7,1137.76,10.89
Chittoor,0.0,471.07,805.36,1276.43,627.07
DD Giddalur,118.34,601.01,207.77,927.12,107.75
DD Markapur,137.84,832.15,633.1,1603.09,538.82
DDPT Atmakur,39.57,703.1,234.58,977.25,86.05
East Godavari,0.0,119.04,290.71,409.75,6.42
Eluru,366.7,485.22,826.19,1678.11,23.68
Guntur,0.0,2.3,34.63,36.93,14.34
Kadapa,10.11,1459.9,861.28,2331.29,704.99
Kakinada,552.32,1840.81,999.29,3392.42,170.0
Krishna,0.0,5.46,92.82,98.28,3.56
Kurnool,0.0,0.93,77.7,78.63,154.3
Nandyal,46.42,797.1,266.14,1109.66,442.63
NTR,34.93,77.35,250.88,363.16,22.63
Paderu,0.0,507.03,712.36,1219.39,572.09
Palnadu,0.96,221.77,431.42,654.15,357.4
Prakasam,0.0,369.13,438.76,807.89,574.3
SPSR Nellore,21.69,466.06,663.01,1150.76,674.25
Sri Sathya Sai,0.0,186.68,571.24,757.92,552.36
Srikakulam,0.0,81.16,504.06,585.22,318.41
Tirupati,1.6,816.94,1138.9,1957.44,491.56
Visakhapatnam,0.0,112.76,202.49,315.25,5.08
Vizianagaram,0.0,34.69,341.51,376.2,77.29
WLM Eluru,0.0,44.13,38.79,82.92,0.07
1,28.37,0.0,0.0,0.07,0.1
2,79.7,0.0,0.0,0.3,0.88
3,11.24,0.0,0.0,0.0,0.0
4,63.48,0.0,0.0,0.0,0.0
5,94.51,0.0,0.05,0.47,0.0
6,6.99,0.0,0.0,0.55,0.0
7,27.26,0.0,0.0,0.39,0.3
8,16.58,0.0,0.0,0.25,0.01
9,30.27,0.0,0.0,0.1,0.0
10,58.61,0.0,0.0,0.36,2.28
11,40.93,0.0,0.0,0.08,0.0
12,51.01,0.0,0.0,0.02,1.54
13,110.87,0.0,2.75,9.04,1.18
14,10.49,0.0,0.0,0.0,0.17
15,45.26,0.0,0.0,0.0,0.0
16,26.04,0.0,0.0,0.0,0.12
17,35.0,0.0,0.0,0.11,0.4
18,18.63,0.0,0.0,0.0,0.0
19,29.67,0.0,0.01,0.09,0.66
20,39.35,0.0,0.23,3.96,0.57
21,13.74,0.0,0.0,0.09,0.0
22,113.07,0.0,0.02,2.67,18.48
23,53.3,0.0,0.0,0.14,0.2
24,28.53,0.0,0.0,0.08,0.7
25,44.14,0.0,0.0,0.0,0.06
26,9.93,0.0,0.0,0.02,0.58
27,60.96,0.0,0.0,1.89,0.0
28,32.41,0.0,0.0,0.05,0.33
29,14.55,0.0,0.0,0.0,0.0
30,35.32,0.0,0.0,0.31,4.43
31,45.58,0.0,0.0,0.0,0.0
32,47.55,0.0,0.0,0.0,0.0
33,98.92,0.0,1.28,4.49,3.19
34,39.76,0.0,0.0,0.0,0.0
35,165.5,0.0,0.0,0.0,0.21
36,43.66,0.0,0.0,0.0,0.0
37,615.53,0.0,68.59,114.1,4.31
38,38.78,0.0,0.0,0.01,0.41
39,21.08,0.0,0.0,1.05,0.09
40,17.54,0.0,0.0,0.09,0.0
41,26.26,0.0,0.0,0.0,0.0
84,68.35,0.0,0.0,13.96,14.32
85,31.82,0.0,0.0,0.0,0.0
86,19.96,0.0,0.0,0.0,0.0
87,70.36,0.0,0.01,0.1,0.96
88,57.43,0.0,0.0,0.0,0.0
89,7.16,0.0,0.0,0.0,0.0
90,83.49,0.0,0.0,0.0,0.67
91,24.52,0.0,0.0,0.0,0.0
92,58.76,0.0,0.34,1.76,2.34
93,37.13,0.0,0.01,1.69,5.06
94,79.04,0.0,0.22,3.75,0.0
95,26.88,0.0,0.0,0.19,0.06
96,5.75,0.0,0.0,0.0,0.0
97,14.05,0.0,0.0,0.0,0.0
98,26.97,0.0,0.0,0.05,0.0
99,38.94,0.0,0.05,1.08,4.51
100,10.41,0.0,0.0,0.0,0.0
101,20.19,0.0,0.0,0.35,0.04
102,40.31,0.0,0.0,0.0,0.0
103,22.14,0.0,0.0,0.0,0.0
104,49.71,0.0,0.5,0.29,0.0
105,58.87,0.0,0.0,6.89,7.35
106,20.77,0.0,0.0,0.1,0.15
107,55.11,0.0,0.0,2.09,0.0
108,7.82,0.0,0.0,0.0,0.0
109,24.96,0.0,0.0,0.0,0.0
110,16.36,0.0,0.0,0.09,0.0
111,28.33,0.0,0.27,4.59,0.3
112,27.24,0.0,0.85,0.44,0.0
113,8.06,0.0,0.0,0.14,1.42
114,23.78,0.0,0.0,0.0,1.45
115,61.15,0.0,0.0,0.41,0.67
116,24.72,0.0,0.0,0.19,0.43
117,51.28,0.0,0.74,1.75,1.04
118,11.96,0.0,0.0,0.0,0.0
119,39.33,0.0,0.0,1.64,0.52
120,6.1,0.0,0.0,0.09,0.0
121,17.05,0.0,0.0,0.0,0.0
122,13.69,0.0,0.0,0.0,0.0
123,30.75,0.0,0.0,0.03,0.0
AnjawH,1221.83,2092.55,923.05,4237.43,74.65
ChanglangH,2001.01,1488.32,944.54,4433.87,16.45
Dibang ValleyH,1127.79,3405.24,1922.05,6455.08,70.68
East KamengH,1347.87,1598.42,867.95,3814.24,75.63
KamleH,415.77,536.95,364.88,1317.6,1.0
Kra DaadiH,602.37,822.66,241.14,1666.17,11.71
Kurung KumeyH,1363.71,1650.3,534.61,3548.62,52.18
Lepa RadaH,262.97,280.83,154.92,698.72,1.91
LohitH,651.54,1208.44,533.17,2393.15,18.1
LongdingH,159.63,247.26,223.19,630.08,28.75
Lower SiangH,622.49,579.06,517.16,1718.71,1.71
Lower SubansiriH,778.5,736.78,247.99,1763.27,5.82
NamsaiH,112.64,344.73,282.97,740.34,12.52
Pakke KessangH,657.15,817.57,308.63,1783.35,9.67
Papum PareH,971.56,1436.02,769.59,3177.17,5.53
Shi YomiH,939.23,863.57,428.18,2230.98,42.07
TawangH,328.64,421.98,405.36,1155.98,263.15
TirapH,421.02,257.92,161.23,840.17,21.85
Upper SiangH,1607.91,2520.93,1279.73,5408.57,127.2
Upper SubansiriH,1856.39,2508.89,1187.4,5552.68,57.18
West KamengH,1418.12,1919.89,974.47,4312.48,77.07
West SiangH,336.48,530.85,355.09,1222.42,0.71
Baksa,165.45,135.35,285.71,586.51,8.09
Barpeta,0.0,34.18,85.4,119.58,0.7
Biswanath,26.24,52.4,279.68,358.32,9.92
Bongaigaon,0.0,58.36,178.32,236.68,1.15
Cachar,191.71,960.9,1031.9,2184.51,12.0
Charaideo,8.97,84.77,266.97,360.71,4.43
Chirang,361.2,126.69,219.47,707.36,7.81
Darrang,0.0,14.43,99.48,113.91,2.28
Dhemaji,53.67,88.36,152.0,294.03,6.83
Dhubri,1.45,14.73,72.31,88.49,3.4
Dibrugarh,106.03,68.7,591.86,766.59,11.3
Dima HasaoH,295.97,1404.33,2334.61,4034.91,9.66
Goalpara,14.8,144.88,275.18,434.86,1.94
Golaghat,23.39,117.97,519.34,660.7,12.81
Hailakandi,17.25,364.08,391.85,773.18,0.88
HojaiH,24.32,230.59,193.78,448.69,2.67
Jorhat,13.36,110.27,474.9,598.53,11.75
Kamrup,50.83,446.14,485.8,982.77,5.2
Karbi AnglongH,524.86,2932.74,2167.02,5624.62,42.74
Karimganj,3.33,292.83,544.79,840.95,1.33
Kokrajhar,545.76,206.96,389.97,1142.69,5.0
Lakhimpur,40.44,116.05,269.56,426.05,2.49
Majuli,0.0,3.84,30.92,34.76,1.29
Morigaon,16.03,54.21,125.46,195.7,1.76
NagaonH,36.16,129.61,320.66,486.43,7.49
Nalbari,0.0,31.05,82.69,113.74,0.02
Sivasagar,0.0,61.65,276.55,338.2,4.22
Sonitpur,83.7,201.21,435.19,720.1,9.77
Tinsukia,405.45,341.23,832.08,1578.76,21.52
Udalguri,7.47,78.69,325.69,411.85,5.85
1,5.28,0.0,0.0,0.98,0.0
2,1.93,0.0,0.02,0.14,0.0
3,4.04,0.0,0.0,1.34,0.0
