LGD_Code,DistrictName,StateName,DistrictVehicles_2020
554,Alappuzha,Kerala,0
121,Ambedkar Nagar,Uttar Pradesh,0
27,Amritsar,Punjab,0
672,Arvalli,Gujarat,0
611,Arwal,Bihar,796
189,Aurangabad,Bihar,2885
125,Bahraich,Uttar Pradesh,0
646,Balod,Chhattisgarh,0
127,Balrampur,Uttar Pradesh,0
649,Balrampur-Ramanujganj,Chhattisgarh,0
623,Bandipora,Jammu And Kashmir,0
470,Beed,Maharashtra,0
650,Bemetara,Chhattisgarh,0
525,Bengaluru Urban,Karnataka,9638362
179,Bhadohi,Uttar Pradesh,0
471,Bhandara,Maharashtra,0
395,Bhind,Madhya Pradesh,0
636,Bijapur,Chhattisgarh,0
676,Botad,Gujarat,0
47,Chamoli,Uttarakhand,10922
135,Chandauli,Uttar Pradesh,0
253,Chandel,Manipur,823
473,Chandrapur,Maharashtra,0
398,Chhatarpur,Madhya Pradesh,0
668,Chhotaudepur,Gujarat,0
445,Dahod,Gujarat,0
310,Dakshin Dinajpur,West Bengal,0
400,Damoh,Madhya Pradesh,0
444,Dangs,Gujarat,0
309,Darjeeling,West Bengal,0
535,Davangere,Karnataka,0
269,Dhalai,Tripura,6529
352,Dhenkanal,Odisha,0
404,Dindori,Madhya Pradesh,0
769,Dudu,Rajasthan,0
657,East Jaintia Hills,Meghalaya,0
748,Eluru,Andhra Pradesh,0
573,Erode,Tamil Nadu,0
651,Fazilka,Punjab,0
31,Ferozepur,Punjab,0
446,Gandhinagar,Gujarat,0
328,Garhwa,Jharkhand,0
645,Gariyaband,Chhattisgarh,0
196,Gaya,Bihar,4988
654,Gomati,Tripura,0
331,Gumla,Jharkhand,0
17,Hamirpur,Himachal Pradesh,0
686,Hanumakonda,Telangana,0
408,Harda,Madhya Pradesh,0
50,Haridwar,Uttarakhand,0
539,Hassan,Karnataka,0
355,Jagatsinghapur,Odisha,0
102,Jaipur,Rajasthan,3168343
104,Jalore,Rajasthan,0
314,Jalpaiguri,West Bengal,0
687,Jayashankar Bhupalapally,Telangana,0
105,Jhalawar,Rajasthan,0
153,Jhansi,Uttar Pradesh,0
357,Jharsuguda,Odisha,0
382,Kabeerdham,Chhattisgarh,0
702,Kalimpong,West Bengal,0
156,Kanpur Dehat,Uttar Pradesh,0
108,Karauli,Rajasthan,0
508,Karimnagar,Telangana,0
201,Katihar,Bihar,3488
360,Kendrapara,Odisha,0
414,Khargone (West Nimar),Madhya Pradesh,0
450,Kheda,Gujarat,0
159,Kheri,Uttar Pradesh,0
652,Khowai,Tripura,0
606,Khunti,Jharkhand,0
620,Kishtwar,Jammu And Kashmir,0
263,Kolasib,Mizoram,2756
315,Kolkata,West Bengal,1024077
559,Kollam,Kerala,0
109,Kota,Rajasthan,898740
160,Kushinagar,Uttar Pradesh,0
553,Lakshadweep District,Lakshadweep,0
161,Lalitpur,Uttar Pradesh,0
335,Latehar,Jharkhand,0
234,Lohit,Arunachal Pradesh,0
615,Longleng,Nagaland,4657
206,Madhubani,Bihar,5097
578,Madurai,Tamil Nadu,1220409
69,Mahendragarh,Haryana,0
669,Mahisagar,Gujarat,0
784,Maihar,Madhya Pradesh,0
166,Mainpuri,Uttar Pradesh,0
706,Majuli,Assam,0
562,Malappuram,Kerala,476784
316,Malda,West Bengal,0
364,Malkangiri,Odisha,0
684,Mancherial,Telangana,0
168,Mau,Uttar Pradesh,0
247,Mon,Nagaland,23090
720,Mulugu,Telangana,0
207,Munger,Bihar,1553
545,Mysuru,Karnataka,0
579,Nagapattinam,Tamil Nadu,0
484,Nagpur,Maharashtra,1781502
51,Nainital,Uttarakhand,26625
409,Narmadapuram,Madhya Pradesh,0
487,Nashik,Maharashtra,839490
453,Navsari,Gujarat,0
714,Noney,Manipur,0
81,North East,Delhi,0
270,North Tripura,Tripura,11980
749,Ntr,Andhra Pradesh,0
563,Palakkad,Kerala,0
338,Palamu,Jharkhand,0
665,Palghar,Maharashtra,236608
70,Panchkula,Haryana,0
71,Panipat,Haryana,0
743,Parvathipuram Manyam,Andhra Pradesh,0
662,Pathankot,Punjab,0
53,Pithoragarh,Uttarakhand,13484
213,Purbi Champaran,Bihar,0
369,Puri,Odisha,0
421,Raisen,Madhya Pradesh,0
518,Ranga Reddy,Telangana,0
627,Reasi,Jammu And Kashmir,0
425,Sagar,Madhya Pradesh,0
217,Samastipur,Bihar,4840
43,Sangrur,Punjab,0
608,S.A.S Nagar,Punjab,0
40,Shahid Bhagat Singh Nagar,Punjab,0
182,Siddharthnagar,Uttar Pradesh,0
114,Sikar,Rajasthan,0
495,Sindhudurg,Maharashtra,0
115,Sirohi,Rajasthan,0
74,Sirsa,Haryana,0
585,Sivaganga,Tamil Nadu,0
184,Sonbhadra,Uttar Pradesh,0
372,Sonepur,Odisha,0
304,South 24 Parganas,West Bengal,0
552,South Goa,Goa,34718
696,Suryapet,Telangana,0
716,Tengnoupal,Manipur,0
588,Theni,Tamil Nadu,0
590,Thiruvarur,Tamil Nadu,0
434,Tikamgarh,Madhya Pradesh,0
655,Unakoti,Tripura,0
241,Upper Subansiri,Arunachal Pradesh,0
187,Varanasi,Uttar Pradesh,0
597,Virudhunagar,Tamil Nadu,0
498,Wardha,Maharashtra,0
279,West Khasi Hills,Meghalaya,15335
272,West Tripura,Tripura,29793
504,Y.S.R.,Andhra Pradesh,56484
667,Agar-Malwa,Madhya Pradesh,0
118,Agra,Uttar Pradesh,1226054
86,Ajmer,Rajasthan,0
664,Alipurduar,West Bengal,0
45,Almora,Uttarakhand,17362
58,Ambala,Haryana,0
468,Amravati,Maharashtra,0
439,Amreli,Gujarat,0
1,Anantnag,Jammu And Kashmir,0
753,Annamayya,Andhra Pradesh,0
616,Baksa,Assam,22693
346,Baleshwar,Odisha,0
126,Ballia,Uttar Pradesh,0
644,Balodabazar-Bhatapara,Chhattisgarh,0
128,Banda,Uttar Pradesh,0
190,Banka,Bihar,2311
305,Bankura,West Bengal,0
3,Baramulla,Jammu And Kashmir,0
130,Bareilly,Uttar Pradesh,0
393,Barwani,Madhya Pradesh,0
28,Bathinda,Punjab,0
191,Begusarai,Bihar,3374
527,Belagavi,Karnataka,0
192,Bhagalpur,Bihar,3450
375,Bilaspur,Chhattisgarh,0
252,Bishnupur,Manipur,1356
705,Biswanath,Assam,0
133,Budaun,Uttar Pradesh,0
134,Bulandshahr,Uttar Pradesh,0
94,Bundi,Rajasthan,0
282,Cachar,Assam,41480
531,Chamarajanagara,Karnataka,0
48,Champawat,Uttarakhand,7242
708,Charaideo,Assam,0
568,Chennai,Tamil Nadu,6351729
612,Chirang,Assam,11516
569,Coimbatore,Tamil Nadu,2377904
401,Datia,Madhya Pradesh,0
325,Dhanbad,Jharkhand,0
571,Dharmapuri,Tamil Nadu,0
536,Dharwad,Karnataka,0
98,Dholpur,Rajasthan,0
286,Dibrugarh,Assam,31680
378,Durg,Chhattisgarh,1002690
273,East Garo Hills,Meghalaya,12714
29,Faridkot,Punjab,0
30,Fatehgarh Sahib,Punjab,0
354,Ganjam,Odisha,0
144,Gautam Buddha Nagar,Uttar Pradesh,0
146,Ghazipur,Uttar Pradesh,0
330,Godda,Jharkhand,0
62,Gurugram,Haryana,0
661,Hapur,Uttar Pradesh,0
163,Hathras,Uttar Pradesh,0
540,Haveri,Karnataka,0
63,Hisar,Haryana,0
726,Hnahthial,Mizoram,0
507,Hyderabad,Telangana,3242809
151,Jalaun,Uttar Pradesh,0
479,Jalna,Maharashtra,0
447,Jamnagar,Gujarat,0
380,Jashpur,Chhattisgarh,0
412,Jhabua,Madhya Pradesh,0
65,Jind,Haryana,0
713,Jiribam,Manipur,0
107,Jodhpur,Rajasthan,1267620
778,Jodhpur (Gramin),Rajasthan,0
290,Jorhat,Assam,26089
449,Kachchh,Gujarat,0
746,Kakinada,Andhra Pradesh,0
358,Kalahandi,Odisha,0
729,Kallakurichi,Tamil Nadu,0
685,Kamareddy,Telangana,0
618,Kamrup Metro,Assam,0
557,Kannur,Kerala,332430
157,Kanpur Nagar,Uttar Pradesh,1582264
35,Kapurthala,Punjab,0
6,Kargil,Ladakh,0
576,Karur,Tamil Nadu,0
7,Kathua,Jammu And Kashmir,0
770,Khairthal-Tijara,Rajasthan,0
405,Khandwa (East Nimar),Madhya Pradesh,0
542,Kolar,Karnataka,0
699,Kumuram Bheem Asifabad,Telangana,0
264,Lawngtlai,Mizoram,3871
336,Lohardaga,Jharkhand,0
235,Lower Dibang Valley,Arunachal Pradesh,0
719,Lower Siang,Arunachal Pradesh,0
165,Mahoba,Uttar Pradesh,0
415,Mandla,Madhya Pradesh,0
735,Mayiladuthurai,Tamil Nadu,0
513,Medak,Telangana,0
170,Mirzapur,Uttar Pradesh,0
246,Mokokchung,Nagaland,17956
171,Moradabad,Uttar Pradesh,0
673,Morbi,Gujarat,0
482,Mumbai,Maharashtra,3876165
483,Mumbai Suburban,Maharashtra,0
694,Nagarkurnool,Telangana,0
209,Nalanda,Bihar,3268
514,Nalgonda,Telangana,0
210,Nawada,Bihar,2520
80,North,Delhi,0
82,North West,Delhi,0
237,Papum Pare,Arunachal Pradesh,0
564,Pathanamthitta,Kerala,0
456,Porbandar,Gujarat,0
120,Prayagraj,Uttar Pradesh,1506277
175,Rae Bareli,Uttar Pradesh,0
546,Raichur,Karnataka,0
683,Rajanna Sircilla,Telangana,0
621,Ramban,Jammu And Kashmir,0
423,Ratlam,Madhya Pradesh,0
72,Rewari,Haryana,0
276,Ri Bhoi,Meghalaya,0
73,Rohtak,Haryana,0
624,Samba,Jammu And Kashmir,0
371,Sambalpur,Odisha,0
493,Sangli,Maharashtra,0
427,Sehore,Madhya Pradesh,0
257,Senapati,Manipur,2737
780,Shahpura,Rajasthan,0
219,Sheikhpura,Bihar,722
679,Siang,Arunachal Pradesh,0
692,Siddipet,Telangana,0
24,Sirmaur,Himachal Pradesh,0
300,Sivasagar,Assam,27493
301,Sonitpur,Assam,45958
271,South Tripura,Tripura,15123
185,Sultanpur,Uttar Pradesh,0
373,Sundargarh,Odisha,0
459,Surat,Gujarat,3562258
460,Surendranagar,Gujarat,0
594,Thoothukkudi,Tamil Nadu,0
566,Thrissur,Kerala,0
752,Tirupati,Andhra Pradesh,0
249,Tuensang,Nagaland,18138
56,Udam Singh Nagar,Uttarakhand,0
14,Udhampur,Jammu And Kashmir,0
435,Ujjain,Madhya Pradesh,0
186,Unnao,Uttar Pradesh,0
311,Uttar Dinajpur,West Bengal,0
595,Vellore,Tamil Nadu,0
693,Wanaparthy,Telangana,0
523,West Godavari,Andhra Pradesh,77147
242,West Kameng,Arunachal Pradesh,0
76,Yamunanagar,Haryana,0
500,Yavatmal,Maharashtra,0
466,Ahmednagar,Maharashtra,0
745,Alluri Sitharama Raju,Andhra Pradesh,0
154,Amroha,Uttar Pradesh,0
744,Anakapalli,Andhra Pradesh,0
628,Anjaw,Arunachal Pradesh,0
776,Anupgarh,Rajasthan,0
122,Auraiya,Uttar Pradesh,0
140,Ayodhya,Uttar Pradesh,0
