state_code,state_name_english,state_census2011_code,district_code,district_name_english,district_census2011_code
32,Kerala,32,554,Alappuzha,598
9,Uttar Pradesh,09,121,Ambedkar Nagar,178
3,Punjab,03,27,Amritsar,049
24,Gujarat,24,672,Arvalli,000
10,Bihar,10,611,Arwal,240
10,Bihar,10,189,Aurangabad,235
9,Uttar Pradesh,09,125,Bahraich,180
22,Chhattisgarh,22,646,Balod,000
9,Uttar Pradesh,09,127,Balrampur,182
22,Chhattisgarh,22,649,Balrampur-Ramanujganj,000
1,Jammu And Kashmir,01,623,Bandipora,009
27,Maharashtra,27,470,Beed,523
22,Chhattisgarh,22,650,Bemetara,000
29,Karnataka,29,525,Bengaluru Urban,572
9,Uttar Pradesh,09,179,Bhadohi,198
27,Maharashtra,27,471,Bhandara,506
23,Madhya Pradesh,23,395,Bhind,420
22,Chhattisgarh,22,636,Bijapur,417
24,Gujarat,24,676,Botad,000
5,Uttarakhand,05,47,Chamoli,057
9,Uttar Pradesh,09,135,Chandauli,196
14,Manipur,14,253,Chandel,280
27,Maharashtra,27,473,Chandrapur,509
23,Madhya Pradesh,23,398,Chhatarpur,425
24,Gujarat,24,668,Chhotaudepur,000
24,Gujarat,24,445,Dahod,485
19,West Bengal,19,310,Dakshin Dinajpur,331
23,Madhya Pradesh,23,400,Damoh,428
24,Gujarat,24,444,Dangs,489
19,West Bengal,19,309,Darjeeling,327
29,Karnataka,29,535,Davangere,567
16,Tripura,16,269,Dhalai,291
21,Odisha,21,352,Dhenkanal,383
23,Madhya Pradesh,23,404,Dindori,453
8,Rajasthan,08,769,Dudu,NA
17,Meghalaya,17,657,East Jaintia Hills,000
28,Andhra Pradesh,28,748,Eluru,000
33,Tamil Nadu,33,573,Erode,610
3,Punjab,03,651,Fazilka,000
3,Punjab,03,31,Ferozepur,043
24,Gujarat,24,446,Gandhinagar,473
20,Jharkhand,20,328,Garhwa,346
22,Chhattisgarh,22,645,Gariyaband,000
10,Bihar,10,196,Gaya,236
16,Tripura,16,654,Gomati,000
20,Jharkhand,20,331,Gumla,366
2,Himachal Pradesh,02,17,Hamirpur,028
36,Telangana,00,686,Hanumakonda,000
23,Madhya Pradesh,23,408,Harda,448
5,Uttarakhand,05,50,Haridwar,068
29,Karnataka,29,539,Hassan,574
21,Odisha,21,355,Jagatsinghapur,380
8,Rajasthan,08,102,Jaipur,110
8,Rajasthan,08,104,Jalore,116
19,West Bengal,19,314,Jalpaiguri,328
36,Telangana,00,687,Jayashankar Bhupalapally,000
8,Rajasthan,08,105,Jhalawar,129
9,Uttar Pradesh,09,153,Jhansi,166
21,Odisha,21,357,Jharsuguda,371
22,Chhattisgarh,22,382,Kabeerdham,407
19,West Bengal,19,702,Kalimpong,000
9,Uttar Pradesh,09,156,Kanpur Dehat,163
8,Rajasthan,08,108,Karauli,107
36,Telangana,00,508,Karimnagar,534
10,Bihar,10,201,Katihar,212
21,Odisha,21,360,Kendrapara,379
23,Madhya Pradesh,23,414,Khargone (West Nimar),440
24,Gujarat,24,450,Kheda,483
9,Uttar Pradesh,09,159,Kheri,153
16,Tripura,16,652,Khowai,000
20,Jharkhand,20,606,Khunti,365
1,Jammu And Kashmir,01,620,Kishtwar,018
15,Mizoram,15,263,Kolasib,282
19,West Bengal,19,315,Kolkata,342
32,Kerala,32,559,Kollam,600
8,Rajasthan,08,109,Kota,127
9,Uttar Pradesh,09,160,Kushinagar,189
31,Lakshadweep,31,553,Lakshadweep District,587
9,Uttar Pradesh,09,161,Lalitpur,167
20,Jharkhand,20,335,Latehar,359
12,Arunachal Pradesh,12,234,Lohit,259
13,Nagaland,13,615,Longleng,268
10,Bihar,10,206,Madhubani,207
33,Tamil Nadu,33,578,Madurai,623
6,Haryana,06,69,Mahendragarh,084
24,Gujarat,24,669,Mahisagar,000
23,Madhya Pradesh,23,784,Maihar,NA
9,Uttar Pradesh,09,166,Mainpuri,148
18,Assam,18,706,Majuli,000
32,Kerala,32,562,Malappuram,592
19,West Bengal,19,316,Malda,332
21,Odisha,21,364,Malkangiri,399
36,Telangana,00,684,Mancherial,000
9,Uttar Pradesh,09,168,Mau,192
13,Nagaland,13,247,Mon,261
36,Telangana,00,720,Mulugu,000
10,Bihar,10,207,Munger,226
29,Karnataka,29,545,Mysuru,577
33,Tamil Nadu,33,579,Nagapattinam,618
27,Maharashtra,27,484,Nagpur,505
5,Uttarakhand,05,51,Nainital,066
23,Madhya Pradesh,23,409,Narmadapuram,449
27,Maharashtra,27,487,Nashik,516
24,Gujarat,24,453,Navsari,490
14,Manipur,14,714,Noney,000
7,Delhi,07,81,North East,092
16,Tripura,16,270,North Tripura,292
28,Andhra Pradesh,28,749,Ntr,000
32,Kerala,32,563,Palakkad,593
20,Jharkhand,20,338,Palamu,358
27,Maharashtra,27,665,Palghar,000
6,Haryana,06,70,Panchkula,069
6,Haryana,06,71,Panipat,075
28,Andhra Pradesh,28,743,Parvathipuram Manyam,000
3,Punjab,03,662,Pathankot,000
5,Uttarakhand,05,53,Pithoragarh,062
10,Bihar,10,213,Purbi Champaran,204
21,Odisha,21,369,Puri,387
23,Madhya Pradesh,23,421,Raisen,446
36,Telangana,00,518,Ranga Reddy,537
1,Jammu And Kashmir,01,627,Reasi,020
23,Madhya Pradesh,23,425,Sagar,427
