0,1,2,3,4,5,6,7,8,9
Table 10.1.2 Forest Cover of Andhra Pradesh,,,,,,,,,
,,(km2),,,,,,,
Class,Area,%  of Calculated Area by SoI,,,,,,,
VDF,"1,995.71",1.22,,,,,,,
MDF,"13,725.75",8.42,,,,,,,
OF,"14,363.50",8.82,,,,,,,
Total,"30,084.96",18.46,,,,,,,
Scrub,"8,351.62",5.13,,,,,,,
,Table 10.1.3 District- wise Forest Cover in Andhra Pradesh,,,,,,,,
,,,,,,,,(km2),
,,,,2023 Assessment,,,Change,,
,,,,,,%  of Cal-,,,
,,,,,,,w.r.t.,,
,Calculated,Very,Mod.,,,culated,,,
District,,,,Open,,,2021,Scrub,
,Area by SoI,Dense,Dense,,Total,Area by,,,
,,,,Forest,,,Raster,,
,,Forest,Forest,,,SoI,,,
,,,,,,,based*,,
Alluri Sitharama Raju,"12,446.54","1,183.18","3,781.97","1,952.17","6,917.32",55.58,-101.69,726.83,
Anakapalli,"3,847.88",0.00,155.02,551.29,706.31,18.36,-9.62,257.93,
Ananthapuramu,"10,184.85",0.00,22.55,222.90,245.45,2.41,-0.68,551.84,
Annamayya,"9,111.77",28.51,"1,277.28","1,050.56","2,356.35",25.86,-5.16,568.49,
Bapatla,"3,884.29",0.00,41.28,72.58,113.86,2.93,2.10,29.03,
Chittoor,"6,632.71",0.00,457.98,788.33,"1,246.31",18.79,-5.44,625.25,
East Godavari,"2,592.80",0.00,116.80,286.37,403.17,15.55,-6.07,6.37,
Eluru,"6,603.62",366.19,488.08,835.27,"1,689.54",25.59,-8.38,24.36,
Guntur,"2,413.66",0.00,0.06,13.28,13.34,0.55,0.25,9.62,
Kakinada,"3,080.32",0.02,184.33,359.78,544.13,17.66,4.12,113.00,
Konaseema,"2,380.59",0.00,67.32,353.68,421.00,17.68,10.68,2.37,
Krishna,"3,813.89",0.00,50.25,124.35,174.60,4.58,9.34,3.45,
Kurnool,"7,940.12",0.00,0.75,70.73,71.48,0.90,-2.20,145.21,
Nandyal,"9,717.88",86.01,"1,506.01",506.74,"2,098.76",21.60,-6.30,536.45,
NTR,"3,289.04",35.21,77.49,250.67,363.37,11.05,-8.96,22.65,
Palnadu,"7,291.26",0.99,247.18,521.37,769.54,10.55,-12.00,447.82,
Parvathipuram,,,,,,,,,
,"3,801.94",0.00,229.84,776.62,"1,006.46",26.47,-29.19,290.96,
Manyam,,,,,,,,,
Prakasam,"14,279.49",256.87,"1,780.29","1,213.77","3,250.93",22.77,-6.97,"1,139.54",
Sri Potti Sriramulu,,,,,,,,,
,"10,299.69",22.19,474.56,663.76,"1,160.51",11.27,17.77,671.83,
Nellore,,,,,,,,,
Sri Sathya Sai,"8,945.15",0.00,187.17,568.60,755.77,8.45,0.78,550.33,
Srikakulam,"4,430.10",0.00,77.54,500.36,577.90,13.04,6.04,315.61,
Tirupati,"8,692.82",6.38,888.26,"1,209.39","2,104.03",24.20,-21.45,509.69,
Visakhapatnam,952.40,0.00,99.03,173.42,272.45,28.61,-4.76,4.21,
Vizianagaram,"4,143.96",0.00,43.38,370.44,413.82,9.99,35.35,90.64,
West Godavari,"2,147.50",0.00,0.33,60.63,60.96,2.84,9.16,0.02,
YSR Kadapa,"9,998.30",10.16,"1,471.00",866.44,"2,347.60",23.48,-5.38,708.12,
Grand Total,"1,62,922.57","1,995.71","13,725.75","14,363.50","30,084.96",18.46,-138.66,"8,351.62",
*Area figure calculated without normalization factor.,,,,,,,,,
